date,CPI (overall index),Services,Non-energy industrial goods,Food,Energy
2024-08-01,2.216283708677844,2.7244332502976536,0.08013523188694459,0.37493673881929585,-0.9437107026925274
2024-07-01,2.2344448264008334,2.5348839523609485,0.030448078817734016,0.44761342273905236,-0.7809073344625531
2024-06-01,1.9753105200307133,2.8121297026480985,-0.03233042571633781,0.45581868380340357,-1.1474080623564598
2024-05-01,1.9899777622079384,2.7816408741610936,-0.015299972827876417,0.49500091159334875,-1.1374709490302837
2024-04-01,2.33307009944108,2.872666071420207,0.176565137724352,0.641305393941216,-1.1985927361437412
2024-03-01,3.2280592845503193,2.9354210662876876,0.4196542036453051,0.9196107555753322,-0.908594221046844
2024-02-01,3.4114721796515806,2.9837423762803765,0.5498139128891006,1.0224265189260375,-0.9867514672749709
2024-01-01,3.981114617191386,3.2058782798304093,0.7645980485502718,1.2669023782309508,-1.06865266946847
2023-12-01,3.9932685351199932,2.9803951696156306,0.9174641677731252,1.4944205255772416,-1.3814519685362374
2023-11-01,3.9409916807425835,2.923800688893014,0.9600904051172703,1.5191048640651,-1.3492787324213042
2023-10-01,4.599877970506892,3.0577496990604276,1.24827213915428,1.6564281015762672,-1.2598676084315177
2023-09-01,6.6521767234414035,3.2211911695326116,1.3909787079916165,1.8968787060218715,-0.015253943491072243
2023-08-01,6.657030564848807,3.182350063594557,1.5206338820696688,2.0351277683134583,-0.25386192754613796
2023-07-01,6.827214193032422,3.467679410727329,1.7310631697687555,2.1288439549352622,-0.6249565481281216
2023-06-01,7.949684295227083,3.347472042450843,1.880284102888469,2.4012803637669027,0.2571757628615835
2023-05-01,8.680682006290349,3.4251308203622237,2.0024076566472235,2.5108092026973416,0.6719568728143047
2023-04-01,8.658235862574562,3.236576155067253,1.9202620102787262,2.5817268673258345,0.8602726530516361
2023-03-01,10.056877380566052,3.0944880956412737,1.6684758199982324,2.412173844009668,3.2435599258103465
2023-02-01,10.416396867742407,3.0713708577662637,1.6818066419344762,2.308334219292651,3.916587795379436
2023-01-01,10.051523960382259,2.774037375500568,1.6455393231951576,2.1179259840693585,4.098684932365711
2022-12-01,10.5283743731041,2.9703271627096055,1.9020695118328566,2.1348234531908004,3.539170911370583
2022-11-01,10.672012718712054,2.7741985296010045,2.0634345265065717,2.107172437541346,3.7283925857449516
2022-10-01,11.0515663498768,2.7447580368182436,2.2154293499629674,2.1891333921611875,3.9556527526098875
2022-09-01,10.095627807676902,2.6872919113075913,2.303451329882927,1.9644798526364269,3.320385236906006
2022-08-01,9.87018780389883,2.591368559238595,2.1766976026187037,1.7895143843498262,3.484
2022-07-01,10.100901192305276,2.491578591432062,2.190406826490237,1.733803810868032,3.875553697558767
2022-06-01,9.412113480784093,2.2802577682694567,2.1510864072764004,1.366224179239786,3.8363302268331294
2022-05-01,9.082701336222451,2.1229766037999207,2.3749469574811184,1.252339308733109,3.535635427760028
2022-04-01,9.010661677897449,2.072356940956147,2.635574277854196,0.9958095907644491,3.4895085218136987
2022-03-01,7.023124028882184,1.7521562238562798,2.6000534101422033,0.9250563409137463,1.851097166904636
2022-02-01,6.176608090641586,1.5188839990475107,2.4312355430995605,0.7691084042494029,1.523373927615855
2022-01-01,5.455513335903229,1.4140108652444667,1.9039617342292705,0.6665689394431409,1.5559787542250123
2021-12-01,5.386045744749059,1.4794103350449404,1.7936551515208867,0.6509764801753463,1.472842795654847
2021-11-01,5.129900542744577,1.4473720136518715,1.6551734614435185,0.5016218287872274,1.533626464425886
2021-10-01,4.206211658551349,1.4005956232328536,1.2283505642656984,0.22725086006768683,1.339375036779851
2021-09-01,3.0800689553990694,1.1272527550405733,1.160923496434156,0.21205737965019725,0.5692713803184699
2021-08-01,3.196670748437106,1.3201374056670963,1.1577559531817596,0.14505169867060552,0.5597667638483962
2021-07-01,2.0399369223998773,0.6938831239759684,0.8478651404145563,-0.0028047274651622094,0.5596488388257813
2021-06-01,2.514182568334183,0.9196401452917808,0.9401453189424017,0.045727379836906945,0.6186268899902045
2021-05-01,2.114948463112875,0.8330793509668838,0.7956197549917993,-0.07017145389579732,0.5664335664335672
2021-04-01,1.525922237896349,0.6781189729186833,0.3681404396219688,0.046761668846891466,0.448493692517424
2021-03-01,0.7143251652337171,0.6438536127619686,0.24899521623023568,-0.05518579011841497,-0.15050139658409212
2021-02-01,0.41421588932151704,0.6361506590663024,0.06673782803950039,0.05784077482020282,-0.35577689599885376
2021-01-01,0.7005804281119409,0.7507638389647725,0.40923700621684067,0.06368708839063751,-0.5006018977481944
2020-12-01,0.5887664467622544,0.7380550820848667,0.3831357175036204,-0.00286375172078025,-0.5382391590013141
2020-11-01,0.3150650858137788,0.7081332398064772,0.18414487382758032,0.023166666666666315,-0.6001212337315033
2020-10-01,0.6971504552253924,0.6834485175831945,0.4760948361231022,0.1379464243679679,-0.6053885090134091
2020-09-01,0.5319001834456422,0.7067371202113625,0.3071625981029423,0.07263695128015114,-0.5462057029120336
2020-08-01,0.21960784313725445,0.30804363011122377,0.36660637532333495,0.11509661948875509,-0.5687012169353237
2020-07-01,1.0403060704592026,1.0416340557219834,0.4024383820847174,0.18357775122992798,-0.5835652474904816
2020-06-01,0.6031519553797228,0.8693848406514912,0.2792830887701372,0.19311003254510276,-0.7199924254813697
2020-05-01,0.4798606736576877,0.9526420737786622,0.017185268115664336,0.2831149255278047,-0.7419827926705712
2020-04-01,0.7674226306058622,0.9894546905318915,0.15279114439830963,0.23539984149747176,-0.5961431643464709
2020-03-01,1.523307539905046,1.2373578647412935,0.06916278353294829,0.18707641664707234,0.055095461976851945
2020-02-01,1.7095297388894548,1.2279552730308116,0.1316413153701297,0.14570641546329843,0.23400213546260634
2020-01-01,1.7692705638903263,1.1242829827915846,0.15441120566131694,0.20190046873818598,0.3092243595096916
2019-12-01,1.3020711798911637,1.0025788962763504,0.09354649541919341,0.2336665714557746,-0.02314124656033779
2019-11-01,1.474217552256677,1.1901661552072047,0.1608758675639053,0.2823028207357035,-0.13760597373855302
2019-10-01,1.4643743851595095,1.2320714891420548,0.1443486155242847,0.271029293200752,-0.15314691368712693
2019-09-01,1.7149554617908986,1.2078947610844468,0.12975450335031768,0.2949133058722097,0.09167896419662061
2019-08-01,1.7242673975482958,1.0731554806873622,0.14819308889475194,0.30702224604663586,0.20141124900882934
2019-07-01,2.0610954060263333,1.1865047979867822,0.3791431024783106,0.2940645409143293,0.21119228599822756
2019-06-01,2.005462570054153,1.2164407046678216,0.20767473643108067,0.3083356565374961,0.2718679757601918
2019-05-01,2.0206029675833954,1.2350531756656256,0.11087436562972129,0.2349537813113668,0.4284389674597267
2019-04-01,2.1176269674860766,1.3897480151881294,0.035827505827505726,0.22520467051402657,0.4566066515693142
2019-03-01,1.907600879991619,1.2117963121260238,0.2542913706766036,0.28825110385870556,0.13575906936339766
2019-02-01,1.8692836637959886,1.1830610902255594,0.2844514601420699,0.31697960831818967,0.07035134348262972
2019-01-01,1.847948958672621,1.1954082113315645,0.31839447102604873,0.257622420696028,0.06996161318479217
