date,Total earnings,Total earnings (full-time),Contractual,Scheduled,Non-scheduled,Bonus,Real wages (total earnings),Real wages (contractual),Unemployed,Unemployment rate,Employed
2024-08-01,3.0,2.7,3.0,3.0,2.6,2.7,-0.6,-0.5,175,2.5,6815
2024-07-01,3.4,3.9,2.2,2.4,-0.2,6.6,0.3,-1.0,188,2.7,6795
2024-06-01,4.5,5.0,2.1,2.2,0.9,7.8,1.1,-1.2,181,2.6,6822
2024-05-01,2.0,2.6,2.0,2.1,0.9,0.1,-1.3,-1.2,193,2.8,6766
2024-04-01,1.6,2.1,1.6,1.8,-1.2,2.2,-1.2,-1.2,193,2.8,6750
2024-03-01,1.0,1.3,1.5,1.7,-0.5,-5.8,-2.1,-1.5,185,2.7,6726
2024-02-01,1.4,1.8,1.5,1.7,-1.6,-4.1,-1.8,-1.6,177,2.6,6728
2024-01-01,1.5,2.1,1.1,1.3,-1.5,12.4,-1.1,-1.4,163,2.4,6714
2023-12-01,0.8,1.4,1.2,1.4,-1.2,0.4,-2.1,-1.7,156,2.3,6754
2023-11-01,0.7,1.1,1.0,1.0,0.2,-3.9,-2.5,-2.3,169,2.4,6780
2023-10-01,1.5,1.9,1.2,1.3,-0.7,13.7,-2.3,-2.6,175,2.5,6771
2023-09-01,0.6,1.2,0.9,1.0,-0.5,-8.6,-2.9,-2.6,182,2.6,6787
2023-08-01,0.8,1.2,1.2,1.3,0.2,-6.3,-2.8,-2.4,186,2.7,6773
2023-07-01,1.1,1.8,1.3,1.4,0.0,0.6,-2.7,-2.5,183,2.6,6772
2023-06-01,2.3,2.9,1.4,1.3,1.9,3.5,-1.6,-2.5,179,2.6,6785
2023-05-01,2.9,3.5,1.6,1.7,0.5,35.9,-0.9,-2.1,188,2.7,6745
2023-04-01,0.8,1.3,0.8,0.9,-0.7,0.7,-3.2,-3.3,190,2.7,6741
2023-03-01,1.3,2.1,0.5,0.5,1.2,11.6,-2.3,-3.3,193,2.8,6699
2023-02-01,0.8,1.2,0.9,0.8,1.2,2.2,-2.9,-2.9,174,2.5,6667
2023-01-01,0.8,1.4,0.9,0.9,0.5,-1.3,-4.1,-4.0,164,2.4,6689
2022-12-01,4.1,4.5,1.6,1.4,2.9,6.5,-0.6,-3.1,158,2.3,6716
2022-11-01,1.9,2.2,1.8,1.5,5.4,3.1,-2.5,-2.6,165,2.4,6724
2022-10-01,1.4,1.9,1.5,1.0,7.7,2.9,-2.9,-2.8,178,2.6,6755
2022-09-01,2.2,2.5,1.8,1.4,6.8,20.2,-1.2,-1.6,187,2.7,6766
2022-08-01,1.7,1.9,1.6,1.5,4.1,3.4,-1.7,-1.9,177,2.6,6751
2022-07-01,1.3,1.5,1.2,0.9,4.7,1.6,-1.8,-1.9,176,2.5,6755
2022-06-01,2.0,2.5,1.4,1.1,4.8,3.0,-0.6,-1.3,186,2.7,6759
2022-05-01,1.0,1.3,1.4,1.1,5.3,-5.0,-1.8,-1.5,191,2.8,6730
2022-04-01,1.3,1.7,1.3,1.0,5.0,2.5,-1.7,-1.6,188,2.7,6727
2022-03-01,2.0,2.2,1.2,1.0,4.2,13.9,0.6,-0.2,180,2.6,6684
2022-02-01,1.2,1.3,1.0,0.8,4.9,8.1,0.0,-0.1,180,2.6,6658
2022-01-01,1.1,1.1,1.1,0.9,4.3,2.3,0.5,0.5,185,2.7,6646
2021-12-01,-0.4,0.1,0.4,0.1,5.2,-1.1,-1.3,-0.5,173,2.5,6706
2021-11-01,0.8,1.1,0.4,0.2,2.9,6.9,0.1,-0.3,183,2.7,6696
2021-10-01,0.2,0.9,0.0,-0.2,2.3,15.1,0.1,-0.1,184,2.7,6705
2021-09-01,0.2,0.7,0.3,0.0,4.6,-0.9,0.0,0.1,194,2.8,6726
2021-08-01,0.6,1.3,0.5,0.0,6.0,3.0,1.1,0.9,194,2.8,6739
2021-07-01,0.6,1.3,1.0,0.2,11.6,-0.3,1.0,1.3,193,2.8,6757
2021-06-01,0.1,0.3,1.2,0.2,18.0,-1.8,0.5,1.7,207,3.0,6738
2021-05-01,1.9,2.1,1.8,0.7,19.9,3.7,3.1,2.9,213,3.1,6713
2021-04-01,1.4,1.0,1.2,0.8,5.4,8.7,2.9,2.4,211,3.0,6703
2021-03-01,0.6,0.0,0.5,1.0,-5.0,0.6,1.0,1.0,189,2.7,6695
2021-02-01,-0.4,-0.5,-0.5,0.2,-9.1,2.8,0.4,0.2,195,2.8,6693
2021-01-01,-1.3,-1.7,-0.2,0.2,-6.6,-20.3,-0.5,0.6,199,2.9,6678
2020-12-01,-3.0,-3.5,-0.7,-0.1,-8.6,-5.1,-1.7,0.7,195,2.8,6708
2020-11-01,-1.8,-2.0,-0.9,-0.1,-10.8,-12.8,-0.7,0.2,196,2.8,6750
2020-10-01,-0.7,-1.4,-0.5,0.5,-12.0,-9.0,-0.1,0.0,217,3.1,6736
2020-09-01,-0.9,-1.5,-0.8,0.1,-12.3,-8.4,-1.1,-0.9,211,3.0,6722
2020-08-01,-1.3,-1.8,-1.3,-0.3,-13.5,-1.1,-1.4,-1.4,207,3.0,6708
2020-07-01,-1.5,-2.5,-1.1,0.2,-17.2,-2.7,-1.8,-1.4,198,2.9,6687
2020-06-01,-2.0,-2.9,-1.4,0.4,-24.6,-2.6,-2.1,-1.5,196,2.8,6701
2020-05-01,-2.3,-2.8,-2.0,0.1,-26.4,-10.7,-2.3,-2.0,199,2.9,6687
2020-04-01,-0.6,-0.7,-1.0,0.1,-12.8,8.2,-0.7,-1.1,190,2.8,6658
2020-03-01,0.0,0.0,0.1,0.3,-4.0,0.7,-0.5,-0.4,177,2.6,6730
2020-02-01,0.7,0.6,0.5,0.6,-1.7,28.9,0.2,0.0,160,2.3,6720
2020-01-01,1.2,1.0,0.7,0.9,-1.6,9.3,0.4,0.0,160,2.3,6716
2019-12-01,-0.2,0.2,0.1,0.3,-2.3,-0.5,-1.1,-0.8,146,2.1,6765
2019-11-01,0.1,0.7,-0.2,0.0,-2.0,4.0,-0.6,-0.8,152,2.2,6790
2019-10-01,0.0,0.4,0.2,0.2,-0.1,-8.7,-0.4,-0.1,165,2.4,6814
2019-09-01,0.5,0.9,0.3,0.3,-0.2,8.9,0.2,0.1,169,2.4,6794
2019-08-01,-0.1,0.5,0.1,0.1,0.1,-4.4,-0.5,-0.2,158,2.3,6777
2019-07-01,-1.0,-0.4,0.0,0.1,0.2,-3.2,-1.7,-0.7,157,2.3,6756
2019-06-01,0.3,1.2,-0.3,-0.1,-1.0,1.0,-0.6,-1.2,163,2.3,6772
2019-05-01,-0.5,0.3,-0.4,-0.7,0.9,0.0,-1.3,-1.2,166,2.4,6756
2019-04-01,-0.5,0.3,-0.3,-0.1,-1.9,-5.3,-1.5,-1.3,177,2.6,6732
2019-03-01,-1.3,-0.6,-0.8,-0.6,-1.5,-9.7,-1.9,-1.4,175,2.5,6710
2019-02-01,-0.7,0.0,-0.2,-0.1,-0.1,-31.5,-1.0,-0.4,157,2.3,6679
2019-01-01,-0.7,0.3,-0.6,-0.6,-1.1,-1.6,-0.8,-0.8,167,2.4,6650
2018-12-01,1.5,1.9,0.6,0.7,-1.1,2.4,1.1,0.2,160,2.3,6677
2018-11-01,1.7,1.8,1.3,1.3,0.6,8.7,0.8,0.3,169,2.4,6730
2018-10-01,1.1,1.3,1.1,1.1,0.9,0.6,-0.6,-0.6,164,2.4,6745
2018-09-01,0.7,1.0,0.4,0.5,-0.5,9.0,-0.6,-1.0,163,2.4,6735
2018-08-01,0.6,0.6,1.0,1.0,0.5,-7.2,-0.9,-0.5,171,2.5,6701
2018-07-01,1.4,1.7,0.8,0.7,0.8,2.7,0.3,-0.3,173,2.5,6679
2018-06-01,2.8,2.9,1.0,0.8,2.8,5.6,2.0,0.2,169,2.5,6705
2018-05-01,1.4,1.5,1.1,1.1,1.5,8.2,0.6,0.3,159,2.3,6716
2018-04-01,0.2,0.3,0.7,0.6,1.6,-8.9,-0.6,-0.1,181,2.6,6688
2018-03-01,1.8,2.0,1.0,0.9,1.8,13.4,0.5,-0.3,174,2.5,6637
2018-02-01,0.8,1.1,0.5,0.5,0.0,27.7,-1.0,-1.3,166,2.5,6594
2018-01-01,0.7,0.7,0.8,1.0,-0.4,-0.1,-1.0,-0.9,159,2.4,6577
2017-12-01,0.8,0.9,0.6,0.6,0.7,1.0,-0.4,-0.6,174,2.6,6557
2017-11-01,1.0,1.0,0.5,0.4,2.1,9.7,0.2,-0.2,178,2.6,6566
2017-10-01,0.4,0.4,0.4,0.5,0.1,0.6,0.0,0.1,181,2.7,6595
2017-09-01,0.9,0.8,0.8,0.8,1.5,10.0,-0.1,-0.2,190,2.8,6609
2017-08-01,0.7,0.8,0.5,0.5,1.4,4.9,-0.1,-0.3,189,2.8,6586
2017-07-01,-0.5,-0.6,0.5,0.5,0.3,-2.8,-1.0,0.0,191,2.8,6575
2017-06-01,0.4,0.4,0.5,0.5,0.0,0.0,-0.1,0.0,192,2.8,6595
2017-05-01,0.7,0.8,0.6,0.7,0.3,4.1,0.1,0.0,210,3.1,6558
2017-04-01,0.6,0.6,0.5,0.4,-0.3,3.5,0.1,0.0,197,2.9,6510
2017-03-01,0.0,0.2,0.0,0.1,-0.6,0.7,-0.3,-0.3,188,2.8,6443
2017-02-01,0.2,0.5,0.2,0.2,0.5,3.1,-0.1,-0.2,188,2.8,6436
2017-01-01,0.6,0.6,0.5,0.5,0.0,-0.1,0.1,0.0,197,3.0,6479
2016-12-01,0.8,1.0,0.5,0.6,-0.8,1.1,0.4,0.1,193,2.9,6498
2016-11-01,0.6,0.8,0.3,0.5,-1.1,3.5,0.2,-0.1,197,3.0,6485
2016-10-01,0.2,0.5,0.2,0.3,-0.9,-3.2,0.2,0.1,195,2.9,6527
2016-09-01,0.1,0.5,0.2,0.3,-1.0,-4.3,0.7,0.8,204,3.0,6529
2016-08-01,0.1,0.5,0.1,0.3,-1.8,-0.2,0.7,0.7,212,3.2,6495
2016-07-01,1.2,1.5,0.3,0.4,-1.7,3.4,1.8,0.9,203,3.0,6510
2016-06-01,1.5,2.0,0.1,0.1,0.1,3.8,2.0,0.6,210,3.1,6527
2016-05-01,0.1,0.5,0.0,-0.1,0.5,2.2,0.5,0.5,217,3.2,6475
2016-04-01,0.0,0.5,0.0,0.0,1.0,-1.7,0.2,0.3,225,3.4,6424
2016-03-01,1.5,1.6,0.7,0.6,1.1,14.5,1.4,0.7,216,3.3,6367
2016-02-01,0.8,0.8,0.5,0.6,0.0,21.8,0.5,0.1,213,3.2,6379
2016-01-01,0.0,0.6,-0.1,0.0,-1.1,4.4,0.0,-0.1,211,3.2,6426
2015-12-01,-0.2,0.2,0.5,0.3,1.3,-0.7,-0.4,0.3,204,3.1,6412
2015-11-01,0.5,0.9,0.3,0.2,1.2,3.2,0.0,-0.1,210,3.2,6407
2015-10-01,0.7,1.2,0.5,0.3,1.7,18.7,0.2,0.1,208,3.1,6460
2015-09-01,0.4,0.7,0.1,0.0,1.3,10.4,0.3,0.0,227,3.4,6466
2015-08-01,0.3,0.7,0.4,0.2,1.4,1.1,0.1,0.1,225,3.4,6406
2015-07-01,0.8,1.4,0.4,0.5,0.8,1.6,0.4,0.0,222,3.4,6407
2015-06-01,-2.4,-2.0,0.3,0.3,-0.1,-6.2,-2.8,-0.2,224,3.4,6451
2015-05-01,0.8,1.2,0.0,0.1,-1.4,31.5,0.2,-0.6,224,3.4,6425
2015-04-01,0.8,0.9,0.5,0.6,-1.4,10.4,0.0,-0.2,234,3.6,6367
2015-03-01,0.1,0.6,0.1,0.2,-1.5,-0.2,-2.6,-2.6,228,3.5,6343
2015-02-01,0.1,0.7,0.2,0.0,0.9,5.2,-2.4,-2.3,226,3.5,6346
2015-01-01,0.7,0.9,0.4,0.2,2.7,7.5,-2.1,-2.4,231,3.5,6332
2014-12-01,0.9,1.5,-0.2,0.0,0.4,1.8,-2.1,-3.1,210,3.2,6380
2014-11-01,-0.3,0.2,-0.2,-0.4,0.7,-0.3,-3.2,-3.1,219,3.3,6394
2014-10-01,-0.1,0.4,-0.2,-0.3,1.1,-0.6,-3.4,-3.5,233,3.5,6412
2014-09-01,0.4,0.7,0.4,0.2,1.7,7.4,-3.4,-3.3,233,3.5,6424
2014-08-01,0.5,0.9,-0.1,-0.2,1.2,10.8,-3.5,-4.0,231,3.5,6384
2014-07-01,2.3,2.9,0.2,-0.1,3.5,7.7,-1.8,-3.7,248,3.8,6378
2014-06-01,0.9,1.5,0.2,0.0,2.9,2.2,-3.3,-4.0,245,3.7,6409
2014-05-01,0.2,0.7,0.0,-0.3,4.0,5.8,-4.1,-4.3,242,3.6,6418
2014-04-01,0.3,1.0,-0.1,-0.6,5.8,17.1,-3.6,-4.1,254,3.9,6357
2014-03-01,0.5,0.8,-0.1,-0.6,5.6,10.8,-1.5,-2.1,246,3.8,6317
2014-02-01,-0.4,0.0,-0.5,-0.8,4.1,-0.3,-2.3,-2.4,232,3.6,6301
2014-01-01,-0.5,-0.1,0.0,-0.4,4.3,-9.5,-2.0,-1.6,238,3.7,6280
2013-12-01,0.7,1.7,-0.4,-0.9,4.6,1.7,-1.2,-2.3,225,3.4,6337
2013-11-01,0.2,1.3,-0.3,-0.6,5.6,10.3,-1.6,-2.2,249,3.8,6388
2013-10-01,-0.4,0.2,-0.6,-1.0,5.5,4.3,-1.8,-2.1,263,4.0,6383
2013-09-01,-0.5,0.1,-0.7,-1.0,3.3,5.6,-1.8,-2.1,258,3.9,6375
2013-08-01,-1.2,-0.5,-0.7,-0.9,2.8,-9.0,-2.2,-1.8,271,4.1,6326
2013-07-01,-0.4,0.3,-1.0,-1.3,2.3,1.0,-1.2,-1.9,255,3.9,6326
2013-06-01,0.4,1.2,-0.8,-0.9,1.0,2.2,0.1,-1.1,260,3.9,6348
2013-05-01,-0.4,0.5,-0.6,-0.6,0.3,9.3,0.0,-0.3,279,4.2,6354
2013-04-01,-0.3,0.4,-0.6,-0.6,0.3,4.2,0.3,0.1,291,4.4,6326
2013-03-01,-1.4,-0.2,-1.3,-1.2,-1.8,-0.3,-0.3,-0.3,280,4.3,6260
2013-02-01,-1.3,-0.1,-1.3,-1.2,-2.9,7.3,-0.6,-0.6,277,4.2,6255
2013-01-01,-0.2,0.7,-1.2,-1.1,-1.6,22.9,0.0,-0.9,273,4.2,6241
